Language,CountryCode,IsOfficial,Percentage
Arabic,ISR,T,18.0
Hebrew,ISR,T,63.1
Russian,ISR,F,8.9
Albaniana,ITA,F,0.2
French,ITA,F,0.5
Friuli,ITA,F,1.2
German,ITA,F,0.5
Italian,ITA,T,94.1
Romani,ITA,F,0.2
Sardinian,ITA,F,2.7
Slovene,ITA,F,0.2
Creole English,JAM,F,94.2
Hindi,JAM,F,1.9
Arabic,JOR,T,97.9
Armenian,JOR,F,1.0
Circassian,JOR,F,1.0
Ainu,JPN,F,0.0
Chinese,JPN,F,0.2
English,JPN,F,0.1
Japanese,JPN,T,99.1
Korean,JPN,F,0.5
Philippene Languages,JPN,F,0.1
German,KAZ,F,3.1
Kazakh,KAZ,T,46.0
Russian,KAZ,F,34.7
Tatar,KAZ,F,2.0
Ukrainian,KAZ,F,5.0
Uzbek,KAZ,F,2.3
Gusii,KEN,F,6.1
Kalenjin,KEN,F,10.8
Kamba,KEN,F,11.2
Kikuyu,KEN,F,20.9
Luhya,KEN,F,13.8
Luo,KEN,F,12.8
Masai,KEN,F,1.6
Meru,KEN,F,5.5
Nyika,KEN,F,4.8
Turkana,KEN,F,1.4
Kazakh,KGZ,F,0.8
Kirgiz,KGZ,T,59.7
Russian,KGZ,T,16.2
Tadzhik,KGZ,F,0.8
Tatar,KGZ,F,1.3
Ukrainian,KGZ,F,1.7
Uzbek,KGZ,F,14.1
Chinese,KHM,F,3.1
Khmer,KHM,T,88.6
T??am,KHM,F,2.4
Vietnamese,KHM,F,5.5
Kiribati,KIR,T,98.9
Tuvalu,KIR,F,0.5
Creole English,KNA,F,100.0
English,KNA,T,0.0
Chinese,KOR,F,0.1
Korean,KOR,T,99.9
Arabic,KWT,T,78.1
English,KWT,F,0.0
Lao,LAO,T,67.2
Lao-Soung,LAO,F,5.2
Mon-khmer,LAO,F,16.5
Thai,LAO,F,7.8
Arabic,LBN,T,93.0
Armenian,LBN,F,5.9
French,LBN,F,0.0
Bassa,LBR,F,13.7
Gio,LBR,F,7.9
Grebo,LBR,F,8.9
Kpelle,LBR,F,19.5
Kru,LBR,F,7.2
Loma,LBR,F,5.8
Malinke,LBR,F,5.1
Mano,LBR,F,7.2
Arabic,LBY,T,96.0
Berberi,LBY,F,1.0
Creole French,LCA,F,80.0
English,LCA,T,20.0
German,LIE,T,89.0
Italian,LIE,F,2.5
Turkish,LIE,F,2.5
Mixed Languages,LKA,F,19.6
Singali,LKA,T,60.3
Tamil,LKA,T,19.6
English,LSO,T,0.0
Sotho,LSO,T,85.0
Zulu,LSO,F,15.0
Belorussian,LTU,F,1.4
Lithuanian,LTU,T,81.6
Polish,LTU,F,7.0
Russian,LTU,F,8.1
Ukrainian,LTU,F,1.1
French,LUX,T,4.2
German,LUX,T,2.3
Italian,LUX,F,4.6
Luxembourgish,LUX,T,64.4
Portuguese,LUX,F,13.0
Belorussian,LVA,F,4.1
Latvian,LVA,T,55.1
Lithuanian,LVA,F,1.2
Polish,LVA,F,2.1
Russian,LVA,F,32.5
Ukrainian,LVA,F,2.9
Canton Chinese,MAC,F,85.6
English,MAC,F,0.5
Mandarin Chinese,MAC,F,1.2
Portuguese,MAC,T,2.3
Arabic,MAR,T,65.0
Berberi,MAR,F,33.0
English,MCO,F,6.5
French,MCO,T,41.9
Italian,MCO,F,16.1
Monegasque,MCO,F,16.1
Bulgariana,MDA,F,1.6
Gagauzi,MDA,F,3.2
Romanian,MDA,T,61.9
Russian,MDA,F,23.2
Ukrainian,MDA,F,8.6
French,MDG,T,0.0
Malagasy,MDG,T,98.9
Dhivehi,MDV,T,100.0
English,MDV,F,0.0
Mixtec,MEX,F,0.6
N??huatl,MEX,F,1.8
Otom??,MEX,F,0.4
Spanish,MEX,T,92.1
Yucatec,MEX,F,1.1
Zapotec,MEX,F,0.6
English,MHL,T,0.0
Marshallese,MHL,T,96.8
Albaniana,MKD,F,22.9
Macedonian,MKD,T,66.5
Romani,MKD,F,2.3
Serbo-Croatian,MKD,F,2.0
Turkish,MKD,F,4.0
Bambara,MLI,F,31.8
Ful,MLI,F,13.9
Senufo and Minianka,MLI,F,12.0
Songhai,MLI,F,6.9
Soninke,MLI,F,8.7
Tamashek,MLI,F,7.3
English,MLT,T,2.1
Maltese,MLT,T,95.8
Burmese,MMR,T,69.0
Chin,MMR,F,2.2
Kachin,MMR,F,1.4
Karen,MMR,F,6.2
Kayah,MMR,F,0.4
Mon,MMR,F,2.4
Rakhine,MMR,F,4.5
Shan,MMR,F,8.5
Bajad,MNG,F,1.9
Buryat,MNG,F,1.7
Dariganga,MNG,F,1.4
Dorbet,MNG,F,2.7
Kazakh,MNG,F,5.9
Mongolian,MNG,T,78.8
Carolinian,MNP,F,4.8
Chamorro,MNP,F,30.0
Chinese,MNP,F,7.1
English,MNP,T,4.8
Korean,MNP,F,6.5
Philippene Languages,MNP,F,34.1
